# klend-indexer demo result (A) — health-factor histogram (same data, bucketed)
# run as klend_ro via deploy/ch-remote.sh, captured 2026-08-14 10:22:02
# columns: bucket count; health = health_factor_bps / 10^6; sentinel u64::MAX and 0 excluded
2: 1.0-1.05 at-risk	5
3: 1.05-1.25	6294
4: 1.25-1.5	26927
5: 1.5-2.0	13731
6: 2.0-3.0	14770
7: 3.0-5.0	5829
8: 5.0-10.0	2998
9: >=10.0	5656
