# klend-indexer demo result (B) — full slot-ordered history of obligation
# pubkey = BYojGuT56e2TUb8PQwRyT1wL5X5Ekv4kZH1HUQgBu6Zg  (hex 9CBAB5F9B9F21F08DA5F515653BBE3732287A45B8F18526E120E8767073C127B)
# paged in 1000-row pages with a (slot, write_version) cursor (klend_ro max_result_rows=1000), captured 2026-08-14 10:22:02
# columns: slot write_version health_factor_bps num_deposits num_borrows
437394249	1475	1290165	1	1
437394304	2005	1293990	1	1
437394416	3214	1294447	1	1
437394436	3762	1290876	1	1
437394521	2445	1310712	1	1
437394536	2476	1291583	1	1
437394581	1144	1294951	1	1
437394597	1746	1291668	1	1
437394638	1185	1290880	1	1
437394640	1903	1344806	1	1
437394643	1268	1368480	1	1
437394654	1639	1291460	1	1
437394665	2776	1290358	1	1
437394691	1703	1289652	1	1
437394818	1701	1288967	1	1
437394821	1028	1295438	1	1
437394828	2511	1289194	1	1
437394832	2303	1288659	1	1
437395054	2208	1288120	1	1
437395101	1837	1293101	1	1
437395106	2091	1291446	1	1
437395264	1734	1291406	1	1
437395276	2531	1291159	1	1
437395350	2289	1314428	1	1
437395413	1274	1296660	1	1
437395528	2404	1369783	1	1
437395533	1670	1345636	1	1
437395536	1756	1335842	1	1
437395538	2476	1293489	1	1
437395545	1774	1393607	1	1
437395547	2446	1289416	1	1
437395556	2804	1299360	1	1
437395570	2094	1308381	1	1
437395572	3176	1291755	1	1
437395582	2492	1314181	1	1
437395601	2145	1295864	1	1
437395609	2985	1305403	1	1
437395612	2465	1292515	1	1
437395640	1811	1315737	1	1
437395661	1698	1296111	1	1
437395673	2178	1305999	1	1
437395703	1718	1295239	1	1
437395747	1264	1297052	1	1
437395777	1779	1305109	1	1
437395813	1399	1302666	1	1
437395814	2107	1297568	1	1
437395816	2570	1298433	1	1
437395845	1140	1295439	1	1
437395850	1161	1294756	1	1
437395857	2358	1293809	1	1
437395867	2572	1300458	1	1
437395884	2557	1309475	1	1
437395903	1200	1300239	1	1
437396357	2920	1320593	1	1
437396360	1557	1334619	1	1
437396434	2192	1296870	1	1
437396437	1324	1326755	1	1
437396439	1879	1327218	1	1
437396565	1394	1295949	1	1
437396585	1562	1327491	1	1
437396587	2528	1307109	1	1
437396617	1474	1299456	1	1
437396631	2006	1295405	1	1
437396649	1662	1312333	1	1
437396663	2051	1295973	1	1
437396670	2174	1295095	1	1
437396687	1620	1321425	1	1
437396688	3158	1319180	1	1
437396693	2433	1313662	1	1
437396699	1026	1339163	1	1
437396727	2289	1296170	1	1
437396736	2528	1313327	1	1
437396809	1097	1414243	1	1
437396811	1490	1321822	1	1
437396814	1034	1298504	1	1
437396830	1089	1297510	1	1
437396837	1665	1308262	1	1
437396912	3713	1302574	1	1
437396915	2531	1307404	1	1
437396918	1469	1297829	1	1
437397084	1311	1296969	1	1
437397180	2102	1298725	1	1
437397183	1973	1301238	1	1
437397187	2536	1295937	1	1
437397212	3312	1297999	1	1
437397270	2427	1321313	1	1
437397285	1591	1307822	1	1
437397448	2531	1300193	1	1
437397451	1663	1294481	1	1
437397455	2025	1295169	1	1
437397470	1659	1294381	1	1
437397500	2777	1293718	1	1
437397617	2498	1292868	1	1
437397811	2006	1292149	1	1
437397881	1527	1322827	1	1
437397883	1521	1316351	1	1
437397904	2059	1302090	1	1
437397972	1252	1292291	1	1
437398054	1398	1296758	1	1
437398096	2318	1361259	1	1
437398099	1697	1301145	1	1
437398106	1881	1304535	1	1
437398108	2445	1305699	1	1
437398113	1785	1289114	1	1
437398116	1493	1309149	1	1
437398121	1447	1300992	1	1
437398130	1061	1288335	1	1
437398143	2206	1287693	1	1
437398148	1282	1291238	1	1
437398152	2774	1287846	1	1
437398163	2450	1287353	1	1
437398192	1371	1286738	1	1
437398204	2023	1289998	1	1
437398211	2866	1285654	1	1
437398230	1153	1290018	1	1
437398241	2168	1309186	1	1
437398244	1879	1283550	1	1
437398249	2917	1283233	1	1
437398251	2219	1282894	1	1
437398255	3162	1282694	1	1
437398274	2539	1282343	1	1
437398277	1758	1318226	1	1
437398282	2426	1280893	1	1
437398284	2971	1280631	1	1
437398287	1357	1280698	1	1
437398294	1879	1280175	1	1
437398306	1979	1279751	1	1
437398308	2925	1279545	1	1
437398325	2691	1281203	1	1
437398348	1080	1304681	1	1
437398353	1650	1278822	1	1
437398406	1058	1294028	1	1
437398422	1850	1279110	1	1
437398442	1716	1279660	1	1
437398456	2580	1279069	1	1
437398459	1146	1278930	1	1
437398479	1406	1312718	1	1
437398483	2242	1279509	1	1
437398490	2133	1284414	1	1
437398495	2205	1279651	1	1
437398543	1374	1303197	1	1
437398556	2402	1384448	1	1
437398558	2205	1276653	1	1
437398565	2409	1320297	1	1
437398568	1409	1277414	1	1
437398570	1899	1290975	1	1
437398573	1087	1281278	1	1
437398578	1542	1277440	1	1
437398592	1205	1284125	1	1
437398594	1810	1307732	1	1
437398596	2242	1280977	1	1
437398598	2158	1281207	1	1
437398601	1116	1277201	1	1
437398643	2176	1276965	1	1
437398658	1639	1284712	1	1
437398714	1070	1277156	1	1
437398787	1214	1300005	1	1
437398801	1815	1277491	1	1
437398809	2117	1280658	1	1
437398823	1483	1278357	1	1
437398824	1777	1322665	1	1
437398827	1637	1318648	1	1
437398829	1885	1316377	1	1
437398831	2307	1297394	1	1
437398913	1333	1285057	1	1
437398947	2534	1277807	1	1
437398963	2470	1301928	1	1
437398975	2229	1277046	1	1
437399011	1074	1276693	1	1
437399013	1924	1276548	1	1
437399027	1091	1277271	1	1
437399032	1939	1276367	1	1
437399064	1236	1276153	1	1
437399071	2226	1283458	1	1
437399111	2648	1280377	1	1
437399119	1582	1275969	1	1
437399143	1209	1275858	1	1
